Mode	Pitch	Width	Height	bpp
256		640		640		400		8
257		640		640		480		8
258		100		800		600		4
259		800		800		600		8
260		128		1024	760		4
261		1024	1024	768		8
262		160		1280	1024	4
263		1280	1280	1024	8
269		640		320		200		15
270		640		320		200		16
271		960		320		200		24
272		1280	640		480		15
273		1280	640		480		16
274		1920	640		480		24
275		1600	800		600		15
276		1600	800		600		16
277		2400	800		600		24
278		2048	1024	768		15
279		2048	1024	768		16
280		3072	1024	768		24
281		2560	1280	1024	15
282		2560	1280	1024	16
283		3840	1280	1024	24
320		1280	320		200		32
321		2560	640		400		32
322		2560	640		480		32
323		3200	800		600		32
324		4096	1024	768		32
325		5120	1280	1024	32
326		320		320		200		8
328		1152	1152	864		8
329		2304	1152	864		15
330		2304	1152	864		16
331		3456	1152	864		24
332		4608	1152	864		32
